step,action,position_state,balance,equity,drawdown_pct
238,BUY,1,11237.289999999968,11245.919999999967,0.0
239,BUY,1,11237.289999999968,11254.749999999967,0.0
241,BUY,1,11237.289999999968,11263.659999999967,0.0
242,SELL,-1,11261.549999999967,11261.499999999967,0.0192
243,CLOSE,0,11260.759999999966,11260.759999999966,0.0257
244,SELL,-1,11260.759999999966,11260.709999999966,0.0262
245,CLOSE,0,11259.649999999965,11259.649999999965,0.0356
246,SELL,-1,11259.649999999965,11259.599999999966,0.036
247,BUY,1,11270.199999999964,11270.149999999965,0.0
248,SELL,-1,11273.749999999964,11273.699999999964,0.0
249,CLOSE,0,11276.939999999962,11276.939999999962,0.0
250,SELL,-1,11276.939999999962,11276.889999999963,0.0004
252,SELL,-1,11276.939999999962,11283.939999999962,0.0
253,BUY,1,11288.28999999996,11288.239999999962,0.0
254,BUY,1,11288.28999999996,11289.36999999996,0.0
255,CLOSE,0,11294.00999999996,11294.00999999996,0.0
256,SELL,-1,11294.00999999996,11293.95999999996,0.0004
257,SELL,-1,11294.00999999996,11291.57999999996,0.0215
258,BUY,1,11297.599999999959,11297.54999999996,0.0
259,BUY,1,11297.599999999959,11302.689999999959,0.0
260,BUY,1,11297.599999999959,11303.989999999958,0.0
261,BUY,1,11297.599999999959,11303.309999999958,0.006
262,BUY,1,11297.599999999959,11296.259999999958,0.0684
263,SELL,-1,11289.20999999996,11289.15999999996,0.1312
267,SELL,-1,11289.20999999996,11296.40999999996,0.0671
268,CLOSE,0,11297.699999999959,11297.699999999959,0.0556
269,CLOSE,0,11297.699999999959,11297.699999999959,0.0556
272,CLOSE,0,11297.699999999959,11297.699999999959,0.0556
273,BUY,1,11297.699999999959,11297.649999999958,0.0561
274,CLOSE,0,11292.689999999959,11292.689999999959,0.1
276,SELL,-1,11292.689999999959,11292.63999999996,0.1004
277,SELL,-1,11292.689999999959,11314.47999999996,0.0
279,SELL,-1,11292.689999999959,11332.70999999996,0.0
280,SELL,-1,11292.689999999959,11354.63999999996,0.0
281,BUY,1,11484.879999999957,11484.829999999958,0.0
282,SELL,-1,11477.489999999958,11477.439999999959,0.0643
283,BUY,1,11508.269999999957,11508.219999999958,0.0
284,BUY,1,11508.269999999957,11496.429999999957,0.1024
285,BUY,1,11508.269999999957,11483.039999999957,0.2188
286,CLOSE,0,11486.909999999956,11486.909999999956,0.1852
287,BUY,1,11486.909999999956,11486.859999999957,0.1856
288,BUY,1,11486.909999999956,11507.609999999957,0.0053
289,BUY,1,11486.909999999956,11493.529999999955,0.1276
291,BUY,1,11486.909999999956,11503.529999999955,0.0408
292,BUY,1,11486.909999999956,11497.319999999956,0.0947
293,BUY,1,11486.909999999956,11502.839999999956,0.0467
294,BUY,1,11486.909999999956,11482.029999999955,0.2276
295,BUY,1,11486.909999999956,11482.069999999956,0.2272
296,BUY,1,11486.909999999956,11477.129999999956,0.2702
298,BUY,1,11486.909999999956,11484.689999999955,0.2045
302,BUY,1,11486.909999999956,11477.889999999956,0.2636
303,BUY,1,11486.909999999956,11486.739999999956,0.1866
304,BUY,1,11486.909999999956,11492.879999999956,0.1333
305,BUY,1,11486.909999999956,11504.859999999957,0.0292
307,BUY,1,11486.909999999956,11521.269999999957,0.0
308,BUY,1,11486.909999999956,11505.849999999955,0.1338
309,BUY,1,11486.909999999956,11492.089999999956,0.2533
311,BUY,1,11486.909999999956,11490.499999999956,0.2671
312,BUY,1,11486.909999999956,11471.809999999956,0.4293
314,BUY,1,11486.909999999956,11461.469999999956,0.519
315,CLOSE,0,11456.509999999955,11456.509999999955,0.5621
316,CLOSE,0,11456.509999999955,11456.509999999955,0.5621
317,BUY,1,11456.509999999955,11456.459999999955,0.5625
318,BUY,1,11456.509999999955,11473.699999999955,0.4129
319,BUY,1,11456.509999999955,11476.329999999954,0.3901
320,BUY,1,11456.509999999955,11480.469999999954,0.3541
322,SELL,-1,11496.479999999956,11496.429999999957,0.2156
323,BUY,1,12051.339999999956,12051.289999999957,0.0
324,BUY,1,12051.339999999956,12056.379999999957,0.0
325,BUY,1,12051.339999999956,12135.769999999957,0.0
326,BUY,1,12051.339999999956,12124.779999999955,0.0906
327,CLOSE,0,12173.909999999956,12173.909999999956,0.0
328,BUY,1,12173.909999999956,12173.859999999957,0.0004
329,BUY,1,12173.909999999956,12204.569999999956,0.0
330,CLOSE,0,12197.959999999955,12197.959999999955,0.0542
331,BUY,1,12197.959999999955,12197.909999999956,0.0546
332,SELL,-1,12232.649999999954,12232.599999999955,0.0
333,BUY,1,12311.279999999953,12311.229999999952,0.0
334,SELL,-1,12339.589999999953,12339.539999999954,0.0
335,CLOSE,0,12329.169999999953,12329.169999999953,0.084
336,SELL,-1,12329.169999999953,12329.119999999952,0.0844
337,SELL,-1,12329.169999999953,12340.939999999951,0.0
338,BUY,1,12328.929999999953,12328.879999999954,0.0977
339,SELL,-1,12516.899999999952,12516.849999999951,0.0
340,BUY,1,12573.909999999953,12573.859999999953,0.0
341,CLOSE,0,12586.419999999951,12586.419999999951,0.0
342,SELL,-1,12586.419999999951,12586.369999999952,0.0004
343,CLOSE,0,12612.30999999995,12612.30999999995,0.0
344,SELL,-1,12612.30999999995,12612.259999999951,0.0004
345,CLOSE,0,12624.319999999949,12624.319999999949,0.0
348,SELL,-1,12624.319999999949,12624.26999999995,0.0004
349,BUY,1,12642.409999999949,12642.35999999995,0.0
351,BUY,1,12642.409999999949,12658.129999999948,0.0
353,BUY,1,12642.409999999949,12653.259999999947,0.0385
354,BUY,1,12642.409999999949,12662.059999999949,0.0
355,BUY,1,12642.409999999949,12672.489999999947,0.0
356,BUY,1,12642.409999999949,12672.189999999948,0.0024
357,BUY,1,12642.409999999949,12668.239999999947,0.0335
358,CLOSE,0,12673.569999999949,12673.569999999949,0.0
359,SELL,-1,12673.569999999949,12673.51999999995,0.0004
360,SELL,-1,12673.569999999949,12692.889999999948,0.0
361,BUY,1,12699.099999999948,12699.049999999948,0.0
362,CLOSE,0,12707.879999999946,12707.879999999946,0.0
363,BUY,1,12707.879999999946,12707.829999999947,0.0004
364,BUY,1,12707.879999999946,12720.609999999946,0.0
365,SELL,-1,12856.649999999947,12856.599999999948,0.0
366,SELL,-1,12856.649999999947,12852.179999999946,0.0344
367,CLOSE,0,12866.319999999947,12866.319999999947,0.0
368,CLOSE,0,12866.319999999947,12866.319999999947,0.0
369,BUY,1,12866.319999999947,12866.269999999946,0.0004
370,CLOSE,0,12873.249999999945,12873.249999999945,0.0
371,SELL,-1,12873.249999999945,12873.199999999946,0.0004
372,BUY,1,12882.279999999944,12882.229999999945,0.0
373,SELL,-1,12888.299999999945,12888.249999999945,0.0
374,SELL,-1,12888.299999999945,12891.999999999945,0.0
379,BUY,1,12898.059999999945,12898.009999999944,0.0134
380,BUY,1,12898.059999999945,12904.449999999946,0.0
381,BUY,1,12898.059999999945,12913.419999999946,0.0
382,BUY,1,12898.059999999945,12925.539999999946,0.0
383,SELL,-1,12929.039999999944,12928.989999999943,0.0
384,SELL,-1,12929.039999999944,12933.609999999944,0.0
385,SELL,-1,12929.039999999944,12934.589999999944,0.0
386,CLOSE,0,13064.709999999945,13064.709999999945,0.0
389,BUY,1,13064.709999999945,13064.659999999945,0.0004
390,SELL,-1,13057.239999999943,13057.189999999944,0.0576
391,SELL,-1,13057.239999999943,13073.949999999943,0.0
392,BUY,1,13082.659999999943,13082.609999999942,0.0
393,BUY,1,13082.659999999943,13090.719999999943,0.0
394,BUY,1,13082.659999999943,13093.739999999943,0.0
397,BUY,1,13082.659999999943,13086.479999999943,0.0661
398,BUY,1,13082.659999999943,13087.879999999943,0.0554
399,SELL,-1,13104.789999999943,13104.739999999943,0.0
400,BUY,1,13118.109999999942,13118.059999999943,0.0
402,CLOSE,0,13131.389999999941,13131.389999999941,0.0154
403,SELL,-1,13131.389999999941,13131.339999999942,0.0158
404,CLOSE,0,13133.589999999942,13133.589999999942,0.0
405,BUY,1,13133.589999999942,13133.539999999943,0.0004
406,CLOSE,0,13152.399999999941,13152.399999999941,0.0
407,SELL,-1,13152.399999999941,13152.34999999994,0.0004
408,SELL,-1,13152.399999999941,13155.11999999994,0.0
409,SELL,-1,13152.399999999941,13158.969999999941,0.0
411,SELL,-1,13152.399999999941,13160.27999999994,0.0
412,SELL,-1,13152.399999999941,13173.389999999941,0.0
413,SELL,-1,13152.399999999941,13172.339999999942,0.008
414,SELL,-1,13152.399999999941,13183.179999999942,0.0
415,CLOSE,0,13177.589999999942,13177.589999999942,0.0424
417,CLOSE,0,13177.589999999942,13177.589999999942,0.0424
418,CLOSE,0,13177.589999999942,13177.589999999942,0.0424
419,BUY,1,13177.589999999942,13177.539999999943,0.0428
420,SELL,-1,13180.649999999943,13180.599999999944,0.0196
421,BUY,1,13193.539999999943,13193.489999999943,0.0
424,BUY,1,13193.539999999943,13192.679999999942,0.0061
425,BUY,1,13193.539999999943,13199.159999999942,0.0
426,BUY,1,13193.539999999943,13197.459999999943,0.0129
427,BUY,1,13193.539999999943,13202.209999999943,0.0
429,BUY,1,13193.539999999943,13305.979999999943,0.0143
430,CLOSE,0,13317.579999999944,13317.579999999944,0.0
431,BUY,1,13317.579999999944,13317.529999999944,0.0004
432,SELL,-1,13319.139999999943,13319.089999999942,0.0
433,CLOSE,0,13330.389999999941,13330.389999999941,0.0
434,BUY,1,13330.389999999941,13330.339999999942,0.0004
435,BUY,1,13330.389999999941,13336.269999999942,0.0
436,BUY,1,13330.389999999941,13342.889999999941,0.0
438,CLOSE,0,13341.75999999994,13341.75999999994,0.0085
439,SELL,-1,13341.75999999994,13341.709999999941,0.0088
440,SELL,-1,13341.75999999994,13350.46999999994,0.0
442,SELL,-1,13341.75999999994,13342.859999999939,0.071
443,SELL,-1,13341.75999999994,13347.14999999994,0.0389
444,CLOSE,0,13347.02999999994,13347.02999999994,0.0398
445,BUY,1,13347.02999999994,13346.979999999941,0.0401
446,CLOSE,0,13348.979999999941,13348.979999999941,0.0252
448,BUY,1,13348.979999999941,13348.929999999942,0.0255
449,SELL,-1,13370.209999999941,13370.159999999942,0.0
450,SELL,-1,13370.209999999941,13369.11999999994,0.0078
451,SELL,-1,13370.209999999941,13370.879999999941,0.0
